Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
Sol Cuisine,"Produces veg-forward burgers & appetizers, falafel, and plant based meats (burgers, breakfast, chicken, meatballs, fish).  Expanding to US market.",Plant-based,"Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,Other meat,"Fish,Chicken,Beef/veal","Soy,Wheat",U.S. and Canada,Canada,ON,Mississauga,https://solcuisine.com/,1980,Dror Balshine,solcuisine.png (https://dl.airtable.com/.attachments/5ec583dc73ef4a116ca8f702a6b6cdae/ffabbdae/solcuisine.png)
Kinoko-Tech,"Offers an alternative protein based on mycelium from edible mushrooms, legumes, and grains.",Biomass fermentation,"Meat,Bioprocessing infrastructure and equipment","Target molecule selection,Bioprocess design,End product formulation and manufacturing",Ground meat,"Beef/veal,Chicken",Mushrooms,Africa/Middle East,Israel,,Rehovot,https://kinoko-tech.com,2019,"Jasmin Ravid, Daria Feldman, Hadar Shohat ",kinoko.jpeg (https://dl.airtable.com/.attachments/961645e164e032968f6d09ab3fc6fd82/67dc4cb0/kinoko.jpeg)
Imagindairy,Produces animal-free dairy products and uses AI technology with systems biology to increase the expression of milk proteins in microflora.,Precision fermentation,"Dairy,Bioprocessing infrastructure and equipment","End product formulation and manufacturing,Bioprocess design","Milk,Cheese",Other,Other,Africa/Middle East,Israel,,,https://imagindairy.com/about/,2020,"Eyal Afergan, Tamir Tuller",imagindairy logo.jpeg (https://dl.airtable.com/.attachments/c76c6c60518fef9c0b35c5dce274264c/7e7de4a1/imagindairylogo.jpeg)
Redefine Meat,First company to develop a new additive manufacturing technology specifically for food printing.,Plant-based,"Meat,Food processing infrastructure and equipment","Scaffolding and structure,End product formulation and manufacturing",Whole muscle meat,Beef/veal,,Africa/Middle East,Israel,,,https://www.redefinemeat.com/,2018,"Adam Lahav, Eshchar Ben-Shitrit",redefineMeat.PNG (https://dl.airtable.com/.attachments/24045e3a49f34697bd252f9929fc09ab/419c9b80/redefineMeat.PNG)
PlantArcBio,A gene discovery platform to improve traits underlying crop productivity.,Plant-based,Ingredients and inputs,Crop development,,,,Africa/Middle East,Israel,,"Givat Haim, HaMerkaz",https://plantarcbio.com/,2014,Dror Shalitin,PlantArcBio.png (https://dl.airtable.com/.attachments/24af0a69c43671184dfc09903ae35f9d/dfe49dbe/PlantArcBio.png)
Evogene,develops novel products for life science markets through the use of a unique CPB platform.,Plant-based,Ingredients and inputs,Crop development,,,,"Europe,Africa/Middle East",Israel,,,https://www.evogene.com/,2002,,evogene logo.png (https://dl.airtable.com/.attachments/194b8d4c9d51994d8634b5ed25340d00/6a65c8b2/evogenelogo.png)
Hazera Genetics,"Breeds, develops, produces and markets varieties and seeds in a wide range of vegetable crops around the world.",Plant-based,Ingredients and inputs,Crop development,,,,"Global,Africa/Middle East",Israel,,,https://www.hazera.com/,1939,,Hazera genetis logo.png (https://dl.airtable.com/.attachments/b53c368b5d024e4413b05c7c68de63ab/b4170d67/Hazeragenetislogo.png)
Equinom,Seed breeding technology company,Plant-based,Ingredients and inputs,Crop development,,,,Africa/Middle East,Israel,,,https://equi-nom.com/,2012,Gil Shalev,equinom logo.png (https://dl.airtable.com/.attachments/6e8e58b84565dd8cfcdf4d5d222581a6/61135aa4/equinomlogo.png)
CHKP Foods,U.S.-based company that develops and produces fermented plant-based milk products,Plant-based,"Dairy,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization","Milk,Cheese,Other dairy",,Chickpea,"U.S. and Canada,Global",Israel,,Tel Aviv,https://chkpfoods.com/about/,2019,"Noam Sharon, Noam Dekkers",planterra logo.png (https://dl.airtable.com/.attachments/4c715e3851aa42b3f9055922221bfcda/5a13ee7a/planterralogo.png)
NRGene,"Develops new plant and animal varieties with its cutting-edge predictive computational methods.
",Plant-based,Ingredients and inputs,Crop development,,,Hemp,Africa/Middle East,Israel,,"Ness Ziona, HaMerkaz",https://www.nrgene.com/,2009,"David Lieber, Gil Ronen, Guy Kol",NRgene logo.png (https://dl.airtable.com/.attachments/33adb820eb4c3dc568645146d2cbdb01/6095d93c/NRgenelogo.png)
Protera,Producers foaming and emulsifying proteins to replace eggs as well as plant-based oils ,Fermentation-derived,Ingredients and inputs,Target molecule selection,Eggs,,Other,Europe,France,,Paris,https://www.proterabio.com/about,2018,"Leonardo Álvarez,Francia Navarrete",5ea149d3f1271e6d9d2279bb_protera.svg (https://dl.airtable.com/.attachments/f6115d72d89acd1659a9e7ea3b5de7b2/79e3f129/5ea149d3f1271e6d9d2279bb_protera.svg)
NuCiCer,"NuCicer’s customized chickpea varieties with high protein content, targeted functional and nutritional properties, and positive environmental traits will directly impact the nutritional, environmental, transportation, and sustainability needs of the future at the required scale.",Plant-based,Ingredients and inputs,Crop development,"Eggs,Ground meat",,Chickpea,U.S. and Canada,United States,CA,Davis,https://nucicer.com/why-chickpea,2019,"Kathyrn Cook, Douglas Cook",NuCicer+Name+Logo+New.jpg (https://dl.airtable.com/.attachments/dc8bacb69888da58931fa94d3a1046a9/21b7a2cb/NuCicerNameLogoNew.jpg)
WhiteBoard Foods,"Built on Spiderwort's Aerocell™ and Hydrocell™ technologies, our scaffolds are produced with GRAS components and provide the flexibility to meet the engineering demands of your cell-cultured and plant-based food products",Plant-based,"Ingredients and inputs,Meat",Scaffolding and structure,Whole muscle meat,,Other,U.S. and Canada,Canada,,,https://www.whiteboardfoods.com/,2020,Andrew Pelling,Screen Shot 2020-12-08 at 2_54_34 PM.png (https://dl.airtable.com/.attachments/c8b332e4da3ef042ac6fec2a89919065/4ae2412a/ScreenShot2020-12-08at2_54_34PM.png)
Cellivate Technologies,Singapore-based company developing proprietary nanotechnology that enables cells to adhere better and accelerate growth while maintaining vital cellular markers. Spin-off from the National University of Singapore. ,Cultivated,Bioprocessing infrastructure and equipment,"Cell culture media,Scaffolding and structure",,,,Asia Pacific,Singapore,,Singapore,"www.cellivate.xyz
",2019,"Viknish Krishnan-Kutty, Tirumalai Venkatesan
",cellivate+tech+final+logo.jpg (https://dl.airtable.com/.attachments/e7654b65f8327f56b17ee70ad48981dc/885fa57a/cellivatetechfinallogo.jpg)
Celltainer Biotech BV (part of a larger business),"Startup developing single-use bioreactor to enable microbial fermentation for fragile cells, as well as offering services including process development inoculation and pre-culture, and small-scale production","Cultivated,Fermentation-derived",Bioprocessing infrastructure and equipment,Bioprocess design,Ground meat,Beef/veal,,Europe,Netherlands,,Winterswijk Brinkheurne,http://celltainer.com/,2015,Nico Oosterhuis,celltainerverkleind-e1566817419204.png (https://dl.airtable.com/.attachments/fa202b3847af0c0bbe92978de5654ce7/240461b1/celltainerverkleind-e1566817419204.png)
CellulaREvolution,"U.K.-based startup working on the design and bioactivity testing of peptide-based molecules for biotechnological applications. They have also developed a smart coating, demonstrating the concept of continuous cell manufacture.",Cultivated,Bioprocessing infrastructure and equipment,"Cell culture media,Cell line development",,,,Europe,United Kingdom,,Newcastle,https://cellularevolution.co.uk/,2019,"Leo Groenewegen, Martina Niotto, Che Cannon",knldlgkxzq7oubwzwrwu.png (https://dl.airtable.com/.attachments/3197f5567f14753cc4798f422837c50e/41a52a94/knldlgkxzq7oubwzwrwu.png)
Back of the Yards Algae Sciences,"U.S.-based startup working on algae-based ingredients, including cell culture media and growth media ",Cultivated,Ingredients and inputs,"Cell culture media,Ingredient optimization",,,,U.S. and Canada,United States,Illinois,Chicago,https://www.algaesciences.com/,2018,Leonard Lerer,1558688797411.png (https://dl.airtable.com/.attachments/ea7374a8f9159bfc0f2044169cfe38b2/5e80839f/1558688797411.png)
Biocellion,U.S.-based company developing cell culture modeling software to expedite cultivated meat R&D,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,U.S. and Canada,United States,Washington,Seattle,https://biocellion.com/,2013,Simon Kahan,1519916649612.png (https://dl.airtable.com/.attachments/4d7935c2ddefde55aa6319a74bc91aa2/de2a5343/1519916649612.png)
Algama,"Platform for microalgae-based plant-based foods and ingredients (including egg, seafood, meat, and dairy replacements)",Biomass fermentation,"Food processing infrastructure and equipment,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,"Ground meat,Eggs,Other",Tuna,,"U.S. and Canada,Europe",France,,Paris,http://algamafoods.com/,2013,"Alvyn Severien, Gaëtan Gohin",crhejt5qumk3s9afljpv.png (https://dl.airtable.com/.attachments/b4fc2886f6b9b56ada1aff17cec78b45/58be6373/crhejt5qumk3s9afljpv.png)
MyForest Foods,"U.S.-based company producing Mycelium-based whole cut meats, including bacon under the brand ""MyBacon""",Biomass fermentation,Ingredients and inputs,Ingredient optimization,Whole muscle meat,"Beef/veal,Pork",Mushrooms,U.S. and Canada,United States,NY,Albany,https://myforestfoods.com/,2019,"Eben Bayer, Steve Lomnes, Russell Hazen,Gavin McIntyre, Andy Bass, Alex Carlton",Myforestfoods.png (https://dl.airtable.com/.attachments/05f144958d0f7d9a8bf5193c260f3f3d/0019e000/Myforestfoods.png)
Alver,Maker of microalgae protein and a line of algae based protein foods,Plant-based,Ingredients and inputs,End product formulation and manufacturing,Other,,Algae,Europe,Switzerland,,Chardonne,https://www.alver.ch/,2016,Mine Uran,h3gauisdg9pwt3xvlhvw.jpg (https://dl.airtable.com/.attachments/deec566a529f37e42436b28857acfa71/a32d055d/h3gauisdg9pwt3xvlhvw.jpg)
Biosyntia,Fermentation company developing vitamins for plant-based food and other industries (part of a larger business),Fermentation-derived,Ingredients and inputs,"Ingredient optimization,Bioprocess design",,,,Europe,Denmark,,Copenhagen,https://www.biosyntia.com/,2012,"Morten Sommer, Hans Jasper Genee and Andreas Hougaard Laustsen",b1uct8pscx6i54z7yjkr.png (https://dl.airtable.com/.attachments/efffed9e7381dc17dfafacc0c5c858e4/d4e79982/b1uct8pscx6i54z7yjkr.png)
Arzeda ,Uses synthetic biology and computational protein design to create designer fermentation strains with applications in agriculture and ingredients (part of a larger business),Fermentation-derived,Ingredients and inputs,Bioprocess design,Other,Other,,U.S. and Canada,United States,WA,Seattle,https://www.arzeda.com/,2008,"Alexandre Zanghellini, Daniela Grabs, Eric Althoff",kafifmnbxxhuirrbfeed.png (https://dl.airtable.com/.attachments/a18a03e0e6471c70b7a180b06d03c5e8/cee5f84e/kafifmnbxxhuirrbfeed.png)
Calysta,Uses bacterial single cell protein to convert methane to protein for fish and livestock feed,Fermentation-derived,Ingredients and inputs,Feedstocks,Pet food,,,U.S. and Canada,United States,CA,San Francisco,http://calysta.com/,2011,"David McElroy, Josh Silverman",logo (1).png (https://dl.airtable.com/.attachments/9aa9cb1fa663238d6af6cffa8b21034d/312f83cb/logo1.png)
BioTork,Produces non-GMO omega-3 fatty acids from algae culture (part of a larger business),Fermentation-derived,Ingredients and inputs,,,,,U.S. and Canada,United States,FL,Gainesville,https://biotork.com/,2008,Eudes De Crecy,xpvs0hnrnc5obse6c1s8.jpg (https://dl.airtable.com/.attachments/e859fd8dd3a120d4dfe857b7498a4723/02bf3e30/xpvs0hnrnc5obse6c1s8.jpg)
Cellana,"Develops algae-based bioproducts, using marine microalgae to photosynthetically produce its ReNew™ line of Omega-3 EPA and DHA oils, animal feed, and biofuel feedstocks.",Fermentation-derived,Ingredients and inputs,"Ingredient optimization,Feedstocks",,,,U.S. and Canada,United States,HI,Kailua-Kona,http://cellana.com/,2009,Barry Raleigh,d4ec258ea5d712bc0b14.png (https://dl.airtable.com/.attachments/72d0c7e2d1407879ba594be4d80f688c/daf1132b/d4ec258ea5d712bc0b14.png)
Brevel,"Brevel provides truly affordable, consistent and scalable production of protein-rich microalgae which are flavor and color neutral with high functionality and a full amino-acid profile.",Biomass fermentation,Ingredients and inputs,"Bioprocess design,Ingredient optimization",,,Algae,Africa/Middle East,Israel,,Shekef,https://brevel.co.il/,2016,"Yonatan Golan, Ido Golan, Yoav Earon, Amir Levi",Brevel-Logo-Pantone-768x432.png (https://dl.airtable.com/.attachments/ca7e840a439b6f188f5fbb1e72584aed/6f1e461f/Brevel-Logo-Pantone-768x432.png)
Biopolis ,Company producing and purifying proteins from a wide variety of microbial hosts to produce proteins and novel ingredients (part of a larger business),"Fermentation-derived,Cultivated",Ingredients and inputs,"Cell culture media,Host strain development",,,,Europe,Spain,,Valencia,http://biopolis.es/,2003,Daniel Ramón Vidal (CEO),hzbxwdwaji95gx8smsad.jpg (https://dl.airtable.com/.attachments/bcb4115240e99f9e77993a911ea5d60d/8b6eada2/hzbxwdwaji95gx8smsad.jpg)
Biorealize ,"Startup creating custom microorganisms, including those for food and flavor (part of a larger business)",Fermentation-derived,Ingredients and inputs,Ingredient optimization,,,,U.S. and Canada,United States,PA,Philadelphia ,http://www.biorealize.com/,2015,"Orkan Telhan, Michael Hogan, Karen Hogan",download (1).png (https://dl.airtable.com/.attachments/8c4fded8e123fc01d3a3c79b39b0f307/fe6ff6d1/download1.png)
"A.H.A International Co., Ltd","A.H.A International Co., Ltd. (A.H.A), with more than 37 years’ history, is a large integrated foreign trade group enterprise in China focusing on international trade and pharmaceutical manufacturing, and also , domestic trade, industrial investment, logistics services and others. A.H.A ,with its turnover keeping to be ranked in the forefront, is one of the key import and export enterprises in Anhui Province. ",Plant-based,Ingredients and inputs,,,,,"Asia Pacific,Global",China,,,http://www.ahaint.com/,1983,,2009111854127965.jpg (https://dl.airtable.com/.attachments/c642620694bc045316870c03ab083d1f/e7c81ca2/2009111854127965.jpg)
A&B Ingredients,"A&B Ingredients provides the food and beverage marketplace with a wide variety of unique, clean label ingredients.  Each of these ingredients fulfills the needs of manufacturers for health, nutrition, food safety and quality. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Rice",U.S. and Canada,United States,New Jersey,Fairfield,https://abingredients.com/about-us-ab-ingredients/,1990,,logo.jpg (https://dl.airtable.com/.attachments/fb47c690d03aeffe5e9375f84d04d6ca/8ea6da37/logo.jpg)
Puris,Plant-based protein ingredients company. Supplies Beyond Meat with pea protein.,Plant-based,Ingredients and inputs,"Ingredient optimization,Crop development",,,"Pea,Lupine,Chickpea","U.S. and Canada,Asia Pacific",United States,Minnesota,Minneapolis,https://purisfoods.com/,1985,Jerry Lorenzen,puris.jpg (https://dl.airtable.com/.attachments/54d14033024a3ecd7f3ff51c5f40c348/d615b841/puris.jpg)
QingDao SingSino Group Limited,"Large company providing food ingredients, as well as pharmaceutical ingredients",Plant-based,Ingredients and inputs,Ingredient optimization,,,Pea,Asia Pacific,China,"Shandong Sheng, China","Shandong Sheng, China",http://www.singsino.com/,2001,,logo.png (https://dl.airtable.com/.attachments/ff5c01c27c7c19bc331826a9ba51ae74/6370b047/logo.png)
Euroduna Food Ingredients,Since more than 20 years EURODUNA Food Ingredients GmbH is distributing ingredients to the Food Industry and has become one of the major importer of Soy Proteins in Germany.,Plant-based,Ingredients and inputs,,,,"Soy,Pea,Wheat,Tapioca","U.S. and Canada,Europe,Asia Pacific",Germany,,,http://www.euroduna-food.com/en/,2000,,euroduna_logo.png (https://dl.airtable.com/.attachments/368cca9a0f701b2f5ef6bc0f29a3849a/59140d01/euroduna_logo.png)
AcerChem International Inc.,"Acerchem provides solutions for human nutrition, beauty, food, pharmaceuticals and animal nutrition. Established in 2007, Acerchem has grown to become a global business, providing a wide range of functional products across 60 countries, with subsidiaries in 6 countries.",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Rice,Chickpea,Sunflower,Fava bean,Lentils,Mung Bean",Asia Pacific,Singapore,"Singapore, and Shanghai.",Singapore and Shanghai,http://www.acerchem.com/#AboutPage,2007,,logo1.png (https://dl.airtable.com/.attachments/879775908b0d419f58548a95e79ae0e3/18e11848/logo1.png)
Kerry,"Kerry is the world’s leading taste and nutrition partner for the food, beverage and pharmaceutical markets. We innovate with our customers to create great tasting products, with improved nutrition and functionality, while ensuring better impact for the planet. Our leading consumer insights, global RD&A team of 1,100+ food scientists and extensive global footprint enable us to solve our customers complex challenges with differentiated solutions. At Kerry, we are driven to be our customers’ most valued partner, creating a world of sustainable nutrition, and will reach over 2 billion consumers with sustainable nutrition solutions by 2030. For more information, visit www.kerry.com",Plant-based,Ingredients and inputs,End product formulation and manufacturing,"Other meat,Milk",,"Soy,Wheat,Blend,Pea,Rice,Sunflower","U.S. and Canada,Latin America,Europe,Africa/Middle East,Asia Pacific",Ireland,"Tralee, Ireland","Tralee, Ireland",https://kerry.com/,1972,David Pang,Kerry logo.jpg (https://dl.airtable.com/.attachments/96231e9ff07ffd93479a2f499b9e9159/bee0d2b3/Kerrylogo.jpg)
